,Nvidia_Price,Nvidia_Vol.,Date,Timestamp
184,51.13,42310000.0,2019-10-25,1571936400.0
185,51.7,33080000.0,2019-10-28,1572195600.0
186,50.73,21120000.0,2019-10-29,1572282000.0
187,50.75,20600000.0,2019-10-30,1572368400.0
188,50.26,20970000.0,2019-10-31,1572454800.0
189,50.65,28360000.0,2019-11-01,1572541200.0
190,52.62,37670000.0,2019-11-04,1572800400.0
191,52.4,30090000.0,2019-11-05,1572886800.0
192,51.91,26900000.0,2019-11-06,1572973200.0
193,52.09,28030000.0,2019-11-07,1573059600.0
194,51.95,18940000.0,2019-11-08,1573146000.0
195,52.05,24380000.0,2019-11-11,1573405200.0
196,52.4,28380000.0,2019-11-12,1573491600.0
197,52.14,30240000.0,2019-11-13,1573578000.0
198,52.45,52700000.0,2019-11-14,1573664400.0
199,51.05,105420000.0,2019-11-15,1573750800.0
200,53.07,57530000.0,2019-11-18,1574010000.0
201,52.0,41540000.0,2019-11-19,1574096400.0
202,52.8,47300000.0,2019-11-20,1574182800.0
203,52.55,28840000.0,2019-11-21,1574269200.0
204,52.72,22410000.0,2019-11-22,1574355600.0
205,55.3,50730000.0,2019-11-25,1574614800.0
206,54.25,38570000.0,2019-11-26,1574701200.0
207,54.56,21640000.0,2019-11-27,1574787600.0
208,54.19,14160000.0,2019-11-29,1574960400.0
209,52.31,37390000.0,2019-12-02,1575219600.0
210,51.91,47410000.0,2019-12-03,1575306000.0
211,52.35,27360000.0,2019-12-04,1575392400.0
212,52.19,18510000.0,2019-12-05,1575478800.0
213,53.04,23240000.0,2019-12-06,1575565200.0
214,53.04,21510000.0,2019-12-09,1575824400.0
215,53.49,25670000.0,2019-12-10,1575910800.0
216,54.34,23400000.0,2019-12-11,1575997200.0
217,56.02,40610000.0,2019-12-12,1576083600.0
218,56.0,45500000.0,2019-12-13,1576170000.0
219,56.29,32130000.000000004,2019-12-16,1576429200.0
220,57.07,32330000.0,2019-12-17,1576515600.0
221,57.38,34430000.0,2019-12-18,1576602000.0
222,58.87,45310000.0,2019-12-19,1576688400.0
223,59.84,60340000.0,2019-12-20,1576774800.0
224,59.7,35540000.0,2019-12-23,1577034000.0
225,59.66,13890000.0,2019-12-24,1577120400.0
226,59.8,18320000.0,2019-12-26,1577293200.0
227,59.22,25480000.0,2019-12-27,1577379600.0
228,58.08,25820000.0,2019-12-30,1577638800.0
229,58.83,23120000.0,2019-12-31,1577725200.0
230,59.98,23770000.0,2020-01-02,1577898000.0
231,59.02,20580000.0,2020-01-03,1577984400.0
232,59.27,26290000.0,2020-01-06,1578243600.0
233,59.98,31920000.0,2020-01-07,1578330000.0
234,60.09,27720000.0,2020-01-08,1578416400.0
235,60.76,25540000.0,2020-01-09,1578502800.0
236,61.08,31650000.0,2020-01-10,1578589200.0
237,62.99,32030000.0,2020-01-13,1578848400.0
238,61.82,35960000.0,2020-01-14,1578934800.0
239,61.39,26310000.0,2020-01-15,1579021200.0
240,62.23,28420000.0,2020-01-16,1579107600.0
241,62.32,25380000.0,2020-01-17,1579194000.0
242,61.98,21790000.0,2020-01-21,1579539600.0
243,62.51,23920000.0,2020-01-22,1579626000.0
244,63.22,24450000.0,2020-01-23,1579712400.0
245,62.62,37350000.0,2020-01-24,1579798800.0
246,60.05,47050000.0,2020-01-27,1580058000.0
247,61.99,31100000.0,2020-01-28,1580144400.0
248,61.38,25950000.0,2020-01-29,1580230800.0
249,61.45,29050000.0,2020-01-30,1580317200.0
250,59.11,37040000.0,2020-01-31,1580403600.0
251,60.08,25590000.0,2020-02-03,1580662800.0
252,61.78,27150000.0,2020-02-04,1580749200.0
253,62.69,20820000.0,2020-02-05,1580835600.0
254,63.56,21830000.0,2020-02-06,1580922000.0
