,Date,Natural_Gas_Price,Natural_Gas_Vol.,Crude_oil_Price,Crude_oil_Vol.
166,01-10-2019,2.283,232340.0,53.62,589180.0
167,02-10-2019,2.247,165880.0,52.64,590310.0
168,03-10-2019,2.329,275740.0,52.45,642470.0
169,04-10-2019,2.352,204660.0,52.81,541100.0
170,07-10-2019,2.303,207410.0,52.75,549020.0
171,08-10-2019,2.288,182130.0,52.63,658320.0
172,09-10-2019,2.234,197120.0,52.59,632670.0
173,10-10-2019,2.218,216640.0,53.55,613940.0
174,11-10-2019,2.214,264180.0,54.7,741700.0
175,14-10-2019,2.28,171690.0,53.59,467640.0
176,15-10-2019,2.339,177880.0,52.81,511250.0
177,16-10-2019,2.303,191280.0,53.36,451640.0
178,17-10-2019,2.318,159780.0,53.93,418420.0
179,18-10-2019,2.32,150020.0,53.78,174480.0
180,21-10-2019,2.238,215760.0,53.31,95980.0
181,22-10-2019,2.272,234960.0,54.16,33920.0
182,23-10-2019,2.282,146420.0,55.97,620200.0
183,24-10-2019,2.316,125650.0,56.23,480760.0
184,25-10-2019,2.3,63900.0,56.66,445020.0
185,28-10-2019,2.446,80630.0,55.81,437020.0
186,29-10-2019,2.597,8450.0,55.54,521460.00000000006
187,30-10-2019,2.691,214550.0,55.06,659330.0
188,31-10-2019,2.633,222320.0,54.18,677420.0
189,01-11-2019,2.714,239450.0,56.2,538120.0
190,04-11-2019,2.821,255670.0,56.54,580350.0
191,05-11-2019,2.862,218500.0,57.23,435320.0
192,06-11-2019,2.828,189260.0,56.35,623260.0
193,07-11-2019,2.772,301600.0,57.15,678170.0
194,08-11-2019,2.789,175960.0,57.24,636940.0
195,11-11-2019,2.637,250310.0,56.86,498980.0
196,12-11-2019,2.621,199640.0,56.8,586570.0
197,13-11-2019,2.6,206270.0,57.12,547640.0
198,14-11-2019,2.647,223570.0,56.77,516830.00000000006
199,15-11-2019,2.688,173530.0,57.72,375990.0
200,18-11-2019,2.566,186990.0,57.05,159330.0
201,19-11-2019,2.51,205950.0,55.21,121210.0
202,20-11-2019,2.559,146060.0,57.11,31920.0
203,21-11-2019,2.567,131310.0,58.58,593530.0
204,22-11-2019,2.665,84150.0,57.77,508240.0
205,25-11-2019,2.531,70300.0,58.01,420640.0
206,26-11-2019,2.47,12000.0,58.41,443820.0
207,27-11-2019,2.501,145160.0,58.11,454260.0
208,29-11-2019,2.281,244120.0,55.17,718720.0
209,02-12-2019,2.329,219040.0,55.96,616420.0
210,03-12-2019,2.441,307310.0,56.1,560550.0
211,04-12-2019,2.399,195330.0,58.43,760540.0
212,05-12-2019,2.427,179530.0,58.43,649460.0
213,06-12-2019,2.334,251410.0,59.2,679610.0
214,09-12-2019,2.232,322560.0,59.02,511560.0
215,10-12-2019,2.264,270890.0,59.24,566820.0
216,11-12-2019,2.243,220220.0,58.76,589650.0
217,12-12-2019,2.328,258900.0,59.18,530850.0
218,13-12-2019,2.296,170400.0,60.07,512290.0
219,16-12-2019,2.341,163030.0,60.21,347400.0
220,17-12-2019,2.319,162320.0,60.94,163740.0
221,18-12-2019,2.286,186140.0,60.93,131070.0
222,19-12-2019,2.273,231820.0,61.22,35460.0
223,20-12-2019,2.328,153380.0,60.44,552520.0
224,23-12-2019,2.214,127890.0,60.52,314710.0
225,24-12-2019,2.172,49760.0,61.11,204540.0
226,26-12-2019,2.294,53810.0,61.68,265090.0
227,27-12-2019,2.158,8620.0,61.72,351900.0
228,30-12-2019,2.186,124330.0,61.68,427150.0
229,31-12-2019,2.189,116890.0,61.06,494540.0
230,02-01-2020,2.122,164570.0,61.18,486870.0
231,03-01-2020,2.13,144670.0,63.05,885860.0
232,06-01-2020,2.135,154680.0,63.27,724240.0
233,07-01-2020,2.162,163010.0,62.7,582650.0
234,08-01-2020,2.141,242560.0,59.61,1210000.0
235,09-01-2020,2.166,230030.0,59.56,750930.0
236,10-01-2020,2.202,282650.0,59.04,596190.0
237,13-01-2020,2.182,232950.0,58.08,584000.0
238,14-01-2020,2.187,281850.0,58.23,507710.0
239,15-01-2020,2.12,218920.0,57.81,433170.0
240,16-01-2020,2.077,206420.0,58.52,182870.0
241,17-01-2020,2.003,213280.0,58.54,122560.0
242,21-01-2020,1.895,255720.0,58.34,50180.0
243,22-01-2020,1.905,240000.0,56.74,620120.0
244,23-01-2020,1.926,179790.0,55.59,704000.0
245,24-01-2020,1.893,142190.0,54.19,586200.0
246,27-01-2020,1.902,72170.0,53.14,712880.0
247,28-01-2020,1.934,59300.0,53.48,633960.0
248,29-01-2020,1.877,10050.0,53.33,624980.0
249,30-01-2020,1.829,219700.0,52.14,720120.0
250,31-01-2020,1.841,135680.0,51.56,827910.0
251,03-02-2020,1.819,163790.0,50.11,876040.0
252,04-02-2020,1.872,184040.0,49.61,859360.0
253,05-02-2020,1.861,195460.0,50.75,887950.0
254,06-02-2020,1.862,186210.0,50.95,750660.0
255,07-02-2020,1.858,272130.0,50.32,768350.0
256,10-02-2020,1.766,337230.0,49.57,715890.0
257,11-02-2020,1.788,278430.0,49.94,725730.0
258,12-02-2020,1.844,303310.0,51.17,795260.0
259,13-02-2020,1.826,280380.0,51.42,745400.0
260,14-02-2020,1.837,188950.0,52.05,607340.0
261,18-02-2020,1.981,322720.0,52.05,221770.0
262,19-02-2020,1.955,269980.0,53.29,113680.0
263,20-02-2020,1.92,266250.0,53.78,30670.0
264,21-02-2020,1.905,146810.0,53.38,707560.0
265,24-02-2020,1.827,75200.0,51.43,765520.0
266,25-02-2020,1.847,70530.0,49.9,764990.0
267,26-02-2020,1.821,7700.0,48.73,884480.0
268,27-02-2020,1.752,276100.0,47.09,1010000.0
269,28-02-2020,1.684,218420.0,44.76,1100000.0
270,02-03-2020,1.756,197990.0,46.75,949470.0
271,03-03-2020,1.8,207500.0,47.18,1010000.0
272,04-03-2020,1.827,138210.0,46.78,745860.0
273,05-03-2020,1.772,152640.0,45.9,704590.0
274,06-03-2020,1.708,213510.0,41.28,1280000.0
275,09-03-2020,1.778,291350.0,31.13,1770000.0
276,10-03-2020,1.936,350200.0,34.36,1060000.0
277,11-03-2020,1.878,318550.0,32.98,874650.0
278,12-03-2020,1.841,280150.0,31.5,1030000.0
279,13-03-2020,1.869,222420.0,31.73,743130.0
280,16-03-2020,1.815,167170.0,28.7,698830.0
281,17-03-2020,1.729,163790.0,26.95,545820.0
282,18-03-2020,1.604,216850.0,20.37,309480.0
283,19-03-2020,1.654,189480.0,25.22,136720.0
284,20-03-2020,1.604,160480.0,22.43,29760.0
285,23-03-2020,1.602,138580.0,23.36,852950.0
286,24-03-2020,1.653,92340.0,24.01,659700.0
287,25-03-2020,1.659,42560.0,24.49,618730.0
288,26-03-2020,1.637,48030.0,22.6,633880.0
289,27-03-2020,1.634,6320.0,21.51,603120.0
290,30-03-2020,1.69,102310.0,20.09,758710.0
291,31-03-2020,1.64,142550.0,20.48,660080.0
292,01-04-2020,1.587,143670.0,20.31,703290.0
293,02-04-2020,1.552,165320.0,25.32,1100000.0
294,03-04-2020,1.621,155160.0,28.34,1010000.0
295,06-04-2020,1.731,187960.0,26.08,752710.0
296,07-04-2020,1.852,261930.0,23.63,797710.0
297,08-04-2020,1.783,227400.0,25.09,823550.0
298,09-04-2020,1.733,202180.0,22.76,1120000.0
299,13-04-2020,1.724,196130.0,22.41,775120.0
300,14-04-2020,1.65,198540.0,20.11,785480.0
301,15-04-2020,1.598,152700.0,19.87,544800.0
302,16-04-2020,1.686,235590.0,19.87,350940.0
303,17-04-2020,1.753,196980.0,18.27,240630.0
304,20-04-2020,1.924,229820.0,0.0,247950.0
305,21-04-2020,1.821,283420.0,10.01,18440.0
306,22-04-2020,1.939,162990.0,13.78,1240000.0
307,23-04-2020,1.815,93520.0,16.5,833580.0
308,24-04-2020,1.746,77810.0,16.94,600220.0
309,27-04-2020,1.819,67070.0,12.78,623200.0
310,28-04-2020,1.794,3600.0,12.34,897090.0
311,29-04-2020,1.869,159450.0,15.06,554130.0
312,30-04-2020,1.949,169440.0,18.84,545340.0
313,01-05-2020,1.89,181680.0,19.78,403200.0
314,04-05-2020,1.993,187910.0,20.39,311490.0
315,05-05-2020,2.134,307830.0,24.56,387240.0
316,06-05-2020,1.944,265470.0,23.99,381170.0
317,07-05-2020,1.894,228870.0,23.55,310260.0
318,08-05-2020,1.823,188400.0,24.74,205180.0
319,11-05-2020,1.826,224970.0,24.14,179590.0
320,12-05-2020,1.72,228490.0,25.78,212340.0
321,13-05-2020,1.616,254680.0,25.29,150860.0
322,14-05-2020,1.681,206530.0,27.56,160510.0
323,15-05-2020,1.646,169710.0,29.43,108020.0
324,18-05-2020,1.783,224940.0,31.82,89380.0
325,19-05-2020,1.83,241440.0,32.5,36070.0
326,20-05-2020,1.771,158340.0,33.49,406430.0
327,21-05-2020,1.71,99420.0,33.92,372810.0
328,22-05-2020,1.731,53710.0,33.25,429040.0
329,27-05-2020,1.722,2990.0,32.81,415250.0
330,28-05-2020,1.827,160770.0,33.71,440170.0
331,29-05-2020,1.849,221370.0,35.49,443650.0
332,01-06-2020,1.774,205240.0,35.44,385710.0
333,02-06-2020,1.777,142960.0,36.81,343480.0
334,03-06-2020,1.821,200600.0,37.29,494250.0
335,04-06-2020,1.822,114330.0,37.41,307610.0
336,05-06-2020,1.782,207230.0,39.55,396860.0
337,08-06-2020,1.789,206090.0,38.19,416640.0
338,09-06-2020,1.767,207730.0,38.94,396030.0
339,10-06-2020,1.78,203930.0,39.6,385870.0
340,11-06-2020,1.813,213620.0,36.34,513910.0
341,12-06-2020,1.731,148100.0,36.26,406510.0
342,15-06-2020,1.669,191890.0,37.12,387550.0
343,16-06-2020,1.614,167100.0,38.38,366320.0
344,17-06-2020,1.638,150270.0,37.96,239520.0
345,18-06-2020,1.638,124790.0,38.84,113380.0
346,19-06-2020,1.669,123840.0,39.75,64110.0
347,22-06-2020,1.664,121430.0,40.46,29890.0
348,23-06-2020,1.637,85190.0,40.37,368730.0
349,24-06-2020,1.597,43230.0,38.01,499490.0
350,25-06-2020,1.482,62680.0,38.72,451640.0
351,26-06-2020,1.495,7250.0,38.49,356710.0
352,29-06-2020,1.709,273250.0,39.7,343910.0
353,30-06-2020,1.751,186910.0,39.27,370060.0
354,01-07-2020,1.671,173540.0,39.82,407170.0
355,02-07-2020,1.734,142220.0,40.65,347100.0
356,07-07-2020,1.876,203760.0,40.62,256600.00000000003
357,08-07-2020,1.824,187550.0,40.9,286740.0
358,09-07-2020,1.779,179260.0,39.62,367390.0
359,10-07-2020,1.805,166220.0,40.55,393150.0
360,13-07-2020,1.739,158850.0,40.1,370720.0
361,14-07-2020,1.746,138350.0,40.29,426970.0
362,15-07-2020,1.778,93860.0,41.2,352540.0
363,16-07-2020,1.723,136970.0,40.75,200100.0
